step, adc_val
8, 3354
9, 3374
10, 3363
11, 3356
12, 3358
13, 3363
14, 3367
15, 3361
16, 3366
17, 3365
18, 3357
19, 3355
20, 3361
21, 3357
22, 3363
23, 3361
24, 3358
25, 3358
26, 3359
27, 3361
28, 3361
29, 3358
30, 3358
31, 3358
32, 3358
33, 3356
34, 3361
35, 3357
36, 3359
37, 3358
38, 3366
39, 3359
40, 3355
41, 3356
42, 3357
43, 3354
44, 3357
45, 3358
46, 3341
47, 3334
48, 3312
49, 3295
50, 3248
51, 3191
52, 3121
53, 3030
54, 2882
55, 2735
56, 2589
57, 2416
58, 2145
59, 1806
60, 1477
61, 1200
62, 801
63, 466
64, 64
65, 0
66, 5
67, 336
68, 681
69, 1059
70, 1381
71, 1698
72, 2079
73, 2355
74, 2545
75, 2701
76, 2861
77, 3004
78, 3102
79, 3179
80, 3234
81, 3281
82, 3307
83, 3329
84, 3339
85, 3355
86, 3359
87, 3355
88, 3357
89, 3365
90, 3348
91, 3361
92, 3363
93, 3357
94, 3357
95, 3354
96, 3358
97, 3362
98, 3363
99, 3357
100, 3363
101, 3363
102, 3357
103, 3358
104, 3357
105, 3358
106, 3354
107, 3358
108, 3359
109, 3359
110, 3357
111, 3349
112, 3346
113, 3355
114, 3355
115, 3355
116, 3355
117, 3360
118, 3356
119, 3357
120, 3357
121, 3358
122, 3350
123, 3356
124, 3348
125, 3359
126, 3359
127, 3357
128, 3351
129, 3344
130, 3351
131, 3351
132, 3357
133, 3357
134, 3359
135, 3347
136, 3359
137, 3355
138, 3350
139, 3354
140, 3346
141, 3353
142, 3355
143, 3351
144, 3361
145, 3353
